x,which_end,loss
211,-1,7673.44307026943
212,1,29230.588535913186
212,-1,7688.75296644844
213,1,29218.224830619092
213,-1,7708.295484178453
214,1,29211.54049877435
214,-1,7741.494198573893
215,1,29219.519299663472
215,-1,7745.296813839377
216,1,29204.071917155088
216,-1,7756.903101051616
217,1,29191.685392322895
217,-1,7763.814742325225
218,1,29180.592520581336
218,-1,7772.0912256342335
219,1,29175.469472614564
219,-1,7781.388483678973
220,1,29169.971478093066
220,-1,7786.308615515336
221,1,29159.299867254787
221,-1,7792.946412368098
222,1,29149.758905724295
222,-1,7810.862871409403
223,1,29141.002701018773
223,-1,7817.190049951711
224,1,29132.88950890221
224,-1,7825.001432421152
225,1,29125.340233753912
225,-1,7838.929250363381
226,1,29118.3306393479
226,-1,7893.761386661951
227,1,29111.805890672764
227,-1,7914.491384853853
228,1,29105.735933440177
228,-1,7924.507989306696
229,1,29100.092971223123
229,-1,7936.122140664777
230,1,29094.855427356168
230,-1,7969.374808496911
231,1,29089.990140224465
231,-1,7967.941772137589
232,1,29095.877210435756
232,-1,7975.832585272546
233,1,29089.503377459587
233,-1,7990.157483873105
234,1,29084.259266172627
234,-1,8004.356890226793
235,1,29079.688731910934
235,-1,8029.033405940015
236,1,29075.627239894213
236,-1,8040.943082172198
237,1,29077.239399919585
237,-1,8053.9278644424285
238,1,29073.294059779764
238,-1,8062.56150247035
239,1,29069.976370978675
239,-1,8093.97681206093
240,1,29067.094851184556
240,-1,8100.675845926236
241,1,29064.57946445118
241,-1,8125.374849422561
242,1,29067.68370589763
242,-1,8137.598365960538
243,1,29064.71808723958
243,-1,8145.530699810729
244,1,29062.450150733966
244,-1,8160.501334820176
245,1,29060.63916594732
245,-1,8164.653664328547
246,1,29059.19932971109
246,-1,8181.703930770567
247,1,29058.086579010986
247,-1,8187.297194553133
248,1,29057.278004259464
248,-1,8216.096501546675
249,1,29056.7537780999
249,-1,8236.262482544567
250,1,29056.500728359406
250,-1,8282.482230256177
251,1,29056.5063875041
251,-1,8285.112687568191
252,1,29056.755856586482
252,-1,8286.586339382808
253,1,29057.24157676238
253,-1,8296.200852719681
254,1,29057.959749767007
254,-1,8312.034324145829
255,1,29058.902251412
255,-1,8321.983281482795
256,1,29060.061763718535
256,-1,8343.540937517413
257,1,29061.433133294624
257,-1,8390.507981753932
258,1,29063.01036814343
258,-1,8414.854160135985
259,1,29064.788776635873
259,-1,8417.094072146547
260,1,29072.18634343998
260,-1,8428.02031524248
261,1,29073.236955204815
261,-1,8450.981405810242
262,1,29074.86124582087
262,-1,8477.61866395156
263,1,29076.946936693294
263,-1,8496.505729770932
264,1,29079.320007912153
264,-1,8542.18754684448
265,1,29081.925237246498
265,-1,8576.55217398325
266,1,29084.73538694391
266,-1,8597.451333402752
267,1,29087.735224529515
267,-1,8601.768202434401
268,1,29090.915440347395
268,-1,8598.948557493939
269,1,29149.205394638186
269,-1,8610.515365076497
270,1,29196.66112878717
270,-1,8611.392300317271
271,1,29182.187054260427
271,-1,8625.495431568463
272,1,29173.591956763736
272,-1,8644.517532520975
273,1,29167.874272305104
273,-1,8656.701292652851
274,1,29163.903958058727
274,-1,8652.776317685288
275,1,29161.118545425168
275,-1,8691.293428260784
276,1,29159.194552301564
276,-1,8691.161609391856
277,1,29157.93160537313
277,-1,8694.480147392276
278,1,29157.194047886307
278,-1,8694.088575772756
279,1,29156.887114464203
279,-1,8701.60680947453
280,1,29156.94191015328
280,-1,8726.344885161523
281,1,29157.307688418812
281,-1,8765.113355330725
282,1,29157.944868580034
282,-1,8765.606815972444
283,1,29158.824091481856
283,-1,8797.722765593078
284,1,29159.92230267327
284,-1,8820.685160645151
285,1,29161.22125474677
285,-1,8836.810290334713
286,1,29162.70405460736
286,-1,8841.992871945924
