id,occupancy_rate_reviews,occupancy_rate_calendar,is_review_recent_z_score,Predicted Discrepency,Calendar Weight,Review Weight,Occupancy Rate Final,Occupancy Confidence
36901602,0.1326100789,-0.8,1.7347022587,1.0756289256,0,0.6326488706,0.1326100789,0.6326488706
36901848,0.4240711888,-0.711111111,0.400164271,1.0237754964,0,1,0.4240711888,1
36901885,,0.5531914894,999,0.3686884367,0.6313115633,0,0.5531914894,0.6313115633
36902238,0.3604451586,0,4.8344969199,0.3199675482,0.6800324518,0,0,0.6800324518
36902404,0.3749422287,0.7347975292,1.926899384,0.4197773978,0.5802226022,0.536550308,0.561906093,1.1167729102
36902618,0.3644721225,-0.333333333,4.5811909651,0.6380122668,0.3619877332,0,0,0.3619877332
36902700,,1,999,0.7134820448,0.2865179552,0,1,0.2865179552
36902748,,1,999,0.6688982598,0.3311017402,0,1,0.3311017402
36902822,0.4442060084,0,2.4072279261,0.3199675482,0.6800324518,0.296386037,0.1348360974,0.9764184887
36903216,0.176815603,0,1.4636550308,0.1625434283,0.8374565717,0.7681724846,0.0845929392,1.6056290563
36903715,0.2726573447,0.9333333333,3.509486653,0.6165103921,0.3834896079,0,0.9333333333,0.3834896079
36904374,0.2589656673,-0.088888889,2.5754414784,0.4066296564,0.5933703436,0.2122792608,0.0682344286,0.8056496044
36904608,0.2050043506,0,3.2578234086,0.3199675482,0.6800324518,0,0,0.6800324518
36905700,0.5231345016,0.5333333333,2.9545790554,0.248466074,0.751533926,0.0227104723,0.5330341768,0.7742443982
36905940,,0,999,0.3763629804,0.6236370196,0,0,0.6236370196
36906063,0.2718519519,0,2.3526899384,0.3199675482,0.6800324518,0.3236550308,0.0876629961,1.0036874826
36906373,0.1985612083,0,1.7800410678,0.3199675482,0.6800324518,0.6099794661,0.0938892565,1.2900119179
36906470,0.2460793827,0,3.2213552361,0.2066763674,0.7933236326,0,0,0.7933236326
36906533,0.1727886391,0,1.0809034908,0.1625434283,0.8374565717,0.9595482546,0.0922641023,1.7970048264
36906763,,0.7785403798,999,0.4614193001,0.5385806999,0,0.7785403798,0.5385806999
36906882,0.2895705933,-0.4,3.2193839836,0.7228387077,0.2771612923,0,0,0.2771612923
36907061,0.2573548818,-0.466666667,2.7459548255,0.8372402849,0.1627597151,0.1270225873,0.1128084174,0.2897823024
